participant,smart_device,smart_speaker_interest,smart_motion_detector_interest,smart_smoke_detector_interest,security_privacy_attribute,most_protective_value,least_protective_value,mostProtective_leastProtective_pair,willingness_to_purchase,willingness_to_purchase_coded,Reason for increase in willingness to purchase,Reason for decrease in willingness to purchase,risk_perception,risk_perception_coded,Reason for increase in risk perception,Reason for decrease in risk perception,minimum_willingness_to_pay,maximum_willingness_to_pay,order_scenario,correct_definition_number,Age,Gender,Income,Education,Background in Technology
1,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_manual,update_none,manual_none,slightly increases,4,"security updates are necessary, so I'd prefer manual security updates to none at all.",,strongly increases,5,"without updates, bugs and security holes will not be patched, thus making the device more risky to own.",,25,25,2,2,22,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
1,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_mfa,access_none,MFA_none,slightly increases,4,,I'd prefer protections over access.,slightly decreases,2,,This protects data as opposed to leaving it out in the open.,0,0,4,1,22,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
1,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_personal,purpose_money,personal_money,no impact,3,,,slightly increases,4,personalized data carries a risk of being hacked or discovered.,,25,25,3,1,22,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
1,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,slightly increases,4,because I'd prefer that no information was stored in the cloud at all.,,slightly decreases,2,,"because there is no data stored, there is no risk of it being revealed.",25,25,1,2,22,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
1,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_third,none_third,slightly increases,4,because I'd prefer my data to not be shared.,,strongly decreases,1,,"if data is not shared, it is less likely to be misused.",25,25,5,2,22,Woman,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
2,speaker,Very interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,strongly increases,5,I always prefer to have manual updates so that I can choose whether or not to upgrade/update the device. I definitely do not want an item that never has any security updates given that technology is constantly changing and vulnerabilities are consistently,,slightly decreases,2,,"I feel as though having some security updates are always better than none; however, there is no information provided on whether these updates would come in a timely or regular manner to make any significant impact on security.",25,25,4,2,32,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
2,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,slightly increases,4,"If there are options for purchase or accessing private information, I like knowing that there is an added layer of security; however, this is only slight as it may be cumbersome given I live by myself and rarely have guests.",,slightly decreases,2,,"Multi factor authentication is typically going to be an extra layer of security; however, if the secondary registered device is easily accessible, it will be of no consequence.",5,10,1,1,32,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
2,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,"I would prefer that the item uses my information to make my experience better, but I am never happy about my information being sold in order to get me to use a particular service.",,slightly decreases,2,,"I believe it would decrease privacy risks as the information is being used by the company I purchased the item from for internal purposes. Hopefully, I trust the manufacturer of the item enough that I would not think this would be a security risk; however",25,25,3,1,32,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
2,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,no impact,3,,,slightly decreases,2,,Having no information stored would essentially mean there are no risks.,-15,-10,2,1,32,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
2,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,I will always prefer that my data is never shared and certainly not with unknown third parties that I have no control over.,,slightly decreases,2,,"I wouldn't say strongly decreases; however, I believe that having control of your data is always something that is concerning. I would prefer that my devices not share any data.",25,25,5,2,32,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
3,speaker,Very interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,strongly increases,5,It means that you can upgrade if you want,,slightly decreases,2,,They can fix bugs,10,25,2,2,32,Man,"$50,000 to $59,999",Master's degree,Yes
3,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,Safer,,strongly decreases,1,,Less chance of others using,15,25,1,1,32,Man,"$50,000 to $59,999",Master's degree,Yes
3,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,IT would be used for good things,,no impact,3,,,25,25,4,1,32,Man,"$50,000 to $59,999",Master's degree,Yes
3,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,no impact,3,,,no impact,3,,,-25,5,3,0,32,Man,"$50,000 to $59,999",Master's degree,Yes
3,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,It is safer,,strongly decreases,1,,Data cannot get out,25,25,5,0,32,Man,"$50,000 to $59,999",Master's degree,Yes
4,speaker,Very interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,strongly increases,5,Some security updating is better than none. ,,slightly decreases,2,,"It's not as secure as automatic updates, but much better than no updates. ",25,25,4,2,27,Woman,"$50,000 to $59,999",Master's degree,No
4,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,I don't want just anyone to access by controls. ,,strongly decreases,1,"As far as I know, MFA is the standard for making access more secure. ",,25,25,3,1,27,Woman,"$50,000 to $59,999",Master's degree,No
4,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,strongly increases,5,"Collecting the data would benefit me, not the company. ",,slightly decreases,2,,"I would assume that means that they aren't selling my data, thus decreasing the risk to me. ",0,5,1,2,27,Woman,"$50,000 to $59,999",Master's degree,No
4,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,no impact,3,,,slightly decreases,2,"I think cloud storage is more vulnerable, security-wise. So not having it, and having other means of storage, is more secure. ",,-5,25,2,1,27,Woman,"$50,000 to $59,999",Master's degree,No
4,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,"The less my data is shared, the more secure I feel using the device.",,strongly decreases,1,,"By them not sharing my data, a third party can't do nefarious things with my data.",25,25,5,1,27,Woman,"$50,000 to $59,999",Master's degree,No
5,speaker,Very interested,Very interested,Moderately interested,security update,update_manual,update_none,manual_none,strongly increases,5,Security matters,,strongly decreases,1,,Gives my device a lower chance of being hacked.,25,25,4,1,22,Man,Prefer not to answer,High school graduate (high school diploma or equivalent including GED),Yes
5,speaker,Very interested,Very interested,Moderately interested,access control,access_password,access_none,password_none,strongly increases,5,Passwords always matter,NA,slightly decreases,2,,Passwords aren't enough to prevent hacking,25,25,5,2,22,Man,Prefer not to answer,High school graduate (high school diploma or equivalent including GED),Yes
5,speaker,Very interested,Very interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,no impact,3,,,no impact,3,,,-25,25,3,2,22,Man,Prefer not to answer,High school graduate (high school diploma or equivalent including GED),Yes
5,speaker,Very interested,Very interested,Moderately interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,strongly increases,5,It gives me a better sense of security.,NA,slightly decreases,2,It makes me less likely to get hacked.,,15,20,1,2,22,Man,Prefer not to answer,High school graduate (high school diploma or equivalent including GED),Yes
5,speaker,Very interested,Very interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,strongly increases,5,It makes the device feel more personal to me.,,strongly decreases,1,Most data is personal to me.,,15,25,2,2,22,Man,Prefer not to answer,High school graduate (high school diploma or equivalent including GED),Yes
6,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_auto,update_manual,auto_manual,slightly increases,4,It is less maintenance work for me to have to do myself.,,slightly decreases,2,"If it is done automatically, I wouldn't have to worry when I need to update it. It would do it on its own.",,0,5,1,2,36,Woman,"$40,000 to $49,999",Some college but no degree,No
6,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_mfa,access_password,MFA_password,no impact,3,,,slightly decreases,2,,"IT would mean that if anyone else tried to access the device other than me, it would be more difficult to get access unless they have both forms of authorization on hand.",0,5,2,2,36,Woman,"$40,000 to $49,999",Some college but no degree,No
6,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,no impact,3,,,not sure,3,,,0,5,3,1,36,Woman,"$40,000 to $49,999",Some college but no degree,No
6,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,slightly increases,4,I wouldn't have to worry about any information being leaked out about me.,NA,strongly decreases,1,,It will reduce the risk of my information getting out that can be used to identify me personally.,25,25,4,0,36,Woman,"$40,000 to $49,999",Some college but no degree,No
6,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,strongly increases,5,My data will not be shared with anyone providing better security for myself.,,strongly decreases,1,,My info will not be shared with anyone so that will decrease the risk of any of my personal information leaking out at all.,25,25,5,2,36,Woman,"$40,000 to $49,999",Some college but no degree,No
7,speaker,Moderately interested,Very interested,Moderately interested,security update,update_auto,update_manual,auto_manual,slightly increases,4,Because I can be lazy sometimes. This keeps the system running without needing me.,,slightly decreases,2,,"Because the security updates happen as soon as they are released, and they definitely happen. Neither is true with manual updates.",10,15,3,2,51,Woman,"$150,000 or more",Associate degree in college (2-year),No
7,speaker,Moderately interested,Very interested,Moderately interested,access control,access_mfa,access_password,MFA_password,no impact,3,,,slightly decreases,2,,Because multi factor makes sure it's me changing the information or trying to get into the account.,-10,-5,4,1,51,Woman,"$150,000 or more",Associate degree in college (2-year),No
7,speaker,Moderately interested,Very interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,slightly increases,4,Customization often crosses a line from convenience and marketing to a creepy intrusiveness. I don't want that much 'help' in my life. I'm a pretty boring person overall and I know what I like without being told.,,no impact,3,,,20,25,1,2,51,Woman,"$150,000 or more",Associate degree in college (2-year),No
7,speaker,Moderately interested,Very interested,Moderately interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,slightly increases,4,"Again, I don't like stalkers. It's kind of creepy. That said, I'm pretty sure it's not that hard to bypass 'de-identifying' systems and connect to my account if someone wants to. I just prefer the pretense of anonymity for my information. ",NA,slightly decreases,2,,"It's another step to connect the dots in the online data. Sometimes, it's not about having an unbreakable lock so much as having one that is more annoying to pick than your neighbor's.",15,25,2,2,51,Woman,"$150,000 or more",Associate degree in college (2-year),No
7,speaker,Moderately interested,Very interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,no impact,3,,,slightly decreases,2,,Because sharing information is always inherently more risky than not sharing.,-5,25,5,2,51,Woman,"$150,000 or more",Associate degree in college (2-year),No
8,speaker,Moderately interested,Moderately interested,Moderately interested,security update,update_manual,update_none,manual_none,slightly increases,4,,I would like security updates,strongly decreases,1,,Updates help lower the risk,0,0,4,2,19,Non-binary,"$90,000 to $99,999",Some college but no degree,No
8,speaker,Moderately interested,Moderately interested,Moderately interested,access control,access_mfa,access_password,MFA_password,slightly decreases,2,,There are too many steps,strongly decreases,1,,Multiple steps are safer,0,0,5,2,19,Non-binary,"$90,000 to $99,999",Some college but no degree,No
8,speaker,Moderately interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,strongly increases,5,I do not need personalization ,,strongly decreases,1,,Data personalization has security risks,0,5,3,2,19,Non-binary,"$90,000 to $99,999",Some college but no degree,No
8,speaker,Moderately interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_identify,none_identify,no impact,3,,,strongly decreases,1,,No cloud is more secure,0,25,1,0,19,Non-binary,"$90,000 to $99,999",Some college but no degree,No
8,speaker,Moderately interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,I want to protect my data,,strongly decreases,1,,Data sharing is risky,25,25,2,2,19,Non-binary,"$90,000 to $99,999",Some college but no degree,No
9,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_manual,auto_manual,strongly increases,5,I don't have to start looking for a security update,,slightly decreases,2,The device knows what's best for itself and will want to improve it security and privacy to prevent Intruders,,25,25,3,2,35,Woman,"$100,000 to $149,999",Master's degree,Yes
9,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,strongly increases,5,Because I will be the only one able to access it and when anyone tries to I get a one time password alert.,,strongly decreases,1,It increases security and privacy because no one but me will have access to it,,25,25,1,1,35,Woman,"$100,000 to $149,999",Master's degree,Yes
9,speaker,Very interested,Very interested,Very interested,purpose,purpose_personal,purpose_money,personal_money,slightly increases,4,It upgrades the device and brings in new features,,strongly decreases,1,It upgrades its security,,0,0,4,1,35,Woman,"$100,000 to $149,999",Master's degree,Yes
9,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_identify,none_identify,strongly decreases,1,,Because I will not be able to save collected data on it,slightly decreases,2,Nobody will have an idea of what you are doing. ,,-10,0,2,0,35,Woman,"$100,000 to $149,999",Master's degree,Yes
9,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_third,none_third,strongly decreases,1,,I will not be able to share my data on my device to a third party,no impact,3,,,-20,-15,5,2,35,Woman,"$100,000 to $149,999",Master's degree,Yes
10,speaker,Very interested,Moderately interested,Very interested,security update,update_auto,update_none,auto_none,strongly increases,5,A lack of security updates means exploits developed will work forever. ,,strongly decreases,1,,,25,25,3,1,31,Man,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
10,speaker,Very interested,Moderately interested,Very interested,access control,access_password,access_none,password_none,strongly increases,5,My device is my own and I don't want free access. ,NA,slightly decreases,2,"The ability to change the password makes it safer, but if people don't make the efforts to change it, it leaves it open to be changed by a third party. ",,25,25,5,2,31,Man,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
10,speaker,Very interested,Moderately interested,Very interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,I am honestly sick of advertising and already pay for services to not get bombarded by them. I don't want more data aggregated to try to target ads at me. ,,slightly decreases,2,,"When the data is sent to third parties, it means there's more opportunities for something to go wrong. Even if the self improvement data is secure, the data transfer for the advertising agency may not be and even prone to exploitation. ",25,25,1,1,31,Man,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
10,speaker,Very interested,Moderately interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,no impact,3,,,strongly decreases,1,No cloud storage means no uploading and therefore no way into the device,,-25,25,4,2,31,Man,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
10,speaker,Very interested,Moderately interested,Very interested,data sharing,shared_none,shared_manufacturer,none_manufact,no impact,3,,,strongly decreases,1,No data being shared means no possible leaks or exploitation. ,,10,25,2,1,31,Man,"$30,000 to $39,999",Bachelor's degree in college (4-year),Yes
11,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,strongly increases,5,Updates are important to the security of a device.,,strongly decreases,1,Updates help fix any bugs that may have developed in the system that would leave it vulnerable to attacks.,,25,25,2,2,28,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
11,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,strongly decreases,1,,"I understand why multi-factor authentication is a good idea but it always seems like such a hassle to sign in, wait for the extra code and then finally get to access the system.",strongly decreases,1,"Odds are that someone who manages to hack into my system won't have my cell number, so I will at least see that someone is trying to access the system when I get a text with the second form of authentication.",,-10,-5,1,2,28,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
11,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,It's understandable to collect data to make user experience better but using data to sell is just a sneaky way to keep profits high while keeping cost to the consumer low. The third-party company provides the extra profit you may be missing from the lower,,slightly decreases,2,"If the data being sold is de-identified, there isn't much risk, but there's always that chance that your personally identifiable information is being sold and could be hacked into.",,5,10,4,2,28,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
11,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,strongly increases,5,I would think that having an identifiable cloud storage would make it easier for hackers to find my personal information such as passwords to other accounts.,NA,strongly decreases,1,Being able to stay anonymous helps protect consumers in the case of cloud storage being hacked.  ,,25,25,3,0,28,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
11,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,strongly increases,5,Sharing data with the manufacturer can tell them how the device is performing compared to just selling your data to potentially be targeted to be sold more products from other companies.,,strongly decreases,1,Any time your data is sold to a third party the less control you have over who has your information and how well it's secured.,,10,15,5,2,28,Woman,"$60,000 to $69,999",Bachelor's degree in college (4-year),No
12,speaker,Very interested,Very interested,Very interested,security update,update_manual,update_none,manual_none,no impact,3,,,no impact,3,,,-25,25,2,2,30,Woman,"$20,000 to $29,999",Associate degree in college (2-year),No
12,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,no impact,3,,,no impact,3,,,-25,-25,1,2,30,Woman,"$20,000 to $29,999",Associate degree in college (2-year),No
12,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,i would like to help improve the device and i would be okay with sharing my data to do so,,strongly decreases,1,,selling data to third parties opens more opportunities for security breaches ,25,25,4,2,30,Woman,"$20,000 to $29,999",Associate degree in college (2-year),No
12,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,slightly increases,4,not sharing user identity makes it harder for someone malicious to get your data,NA,slightly decreases,2,,it will be easier for someone to get your information without your knowledge,0,25,5,0,30,Woman,"$20,000 to $29,999",Associate degree in college (2-year),No
12,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,no impact,3,,,no impact,3,,,0,25,3,2,30,Woman,"$20,000 to $29,999",Associate degree in college (2-year),No
13,speaker,Very interested,Very interested,Moderately interested,security update,update_manual,update_none,manual_none,strongly increases,5,I like being able to choose when I update.,,slightly decreases,2,,It helps to remove day zero vulnerability but doesn't force an update which could mean that I may miss an update if I'm not vigilant.,10,20,3,2,44,Man,"$90,000 to $99,999",Some college but no degree,Yes
13,speaker,Very interested,Very interested,Moderately interested,access control,access_password,access_none,password_none,slightly increases,4,I like the fact that I can choose the access word so that not anyone can use it without knowing the password I set.,NA,strongly decreases,1,,Having a user set password makes it harder for others to access the unit.,5,15,2,1,44,Man,"$90,000 to $99,999",Some college but no degree,Yes
13,speaker,Very interested,Very interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,slightly increases,4,"It means that it won't be using my data for targetted ads, which makes me feel more secure.",,slightly decreases,2,,It means that it won't be sharing that info/data with third-parties to target ads. ,10,20,1,2,44,Man,"$90,000 to $99,999",Some college but no degree,Yes
13,speaker,Very interested,Very interested,Moderately interested,cloud storage,cloud_none,cloud_identify,none_identify,slightly increases,4,I like that my info isn't available to others via cloud hacking.,,strongly decreases,1,,"The unit would have to be hacked locally, within my house, for people to get my info. It's harder.",10,15,4,0,44,Man,"$90,000 to $99,999",Some college but no degree,Yes
13,speaker,Very interested,Very interested,Moderately interested,data sharing,shared_none,shared_manufacturer,none_manufact,strongly increases,5,I don't like to \share data because you can't see what's being sent.,,strongly decreases,1,,"It doesn't phone home, where data can be intercepted.",5,15,5,2,44,Man,"$90,000 to $99,999",Some college but no degree,Yes
14,speaker,Very interested,Moderately interested,Moderately interested,security update,update_auto,update_none,auto_none,slightly increases,4,I know that my home network and accounts are more likely to remain secure and safe if the device is receiving automatic security updates.,,slightly decreases,2,,Vulnerabilities discovered after the sale of the device will probably be fixed in the automatic security updates. Although I think there are still privacy risks from the manufacturer of the device itself (because tech companies love to collect data on the,25,25,1,2,31,Man,"$20,000 to $29,999",Master's degree,Yes
14,speaker,Very interested,Moderately interested,Moderately interested,access control,access_password,access_none,password_none,no impact,3,,NA,slightly decreases,2,,"Technically speaking, the device is more vulnerable without a password set.",-15,25,3,1,31,Man,"$20,000 to $29,999",Master's degree,Yes
14,speaker,Very interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,slightly increases,4,I don't want the device and the content it offers to be personalized. I want to seek out personally relevant information for myself.,,slightly decreases,2,,"If personalization information is kept, there is a potential for that information to get out to unintended parties.",15,20,5,2,31,Man,"$20,000 to $29,999",Master's degree,Yes
14,speaker,Very interested,Moderately interested,Moderately interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,strongly increases,5,I feel more comfortable knowing that the information about me and my use of this device would not be able to be linked to me if someone got access to that information.,NA,strongly decreases,1,,Information about someone is pretty useless if it can't be associated with a specific individual.,25,25,4,2,31,Man,"$20,000 to $29,999",Master's degree,Yes
14,speaker,Very interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,I don't trust what third parties will do with my information. They may use that information to try to market their products to me. My privacy could also be compromised.,,slightly decreases,2,,"I think not sharing data with anyone provides more of a benefit to privacy than to security. If my information is not shared with third parties, it is more private.",25,25,2,2,31,Man,"$20,000 to $29,999",Master's degree,Yes
15,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,strongly increases,5,There are many tasks I need to complete in a day and I want to make sure updating software is not one of them. I like to have automatic updates so I can focus on other tasks and use my device when I need it.,,slightly decreases,2,,"I think the more updated the security is, the less the risk is for that device. Having automatic updates I assume would greatly decrease the chance of my data being compromised.",25,25,2,2,25,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
15,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_none,MFA_none,no impact,3,,,strongly decreases,1,,When you use multi-factor authentication it means hackers and other thiefs are less likely to crack into the device and steal information. It would decrease the privacy and security risk.,0,25,4,1,25,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
15,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_money,main_money,slightly increases,4,I like the idea of having devices improved based on the information they collect. It makes for a good user experience later on.,,strongly decreases,1,When my personal information is sold to other companies I feel vulnerable and exposed to identity fraud. If the data ends up in the wrong hands they can use it to buy products in my name.,,25,25,5,2,25,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
15,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,slightly decreases,2,,I use different devices such as smartphone and laptop so I need to access the information I need whenever and wherever I am. Having no cloud storage decreases my chance of buying the product.,not sure,3,,,-25,-25,1,1,25,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
15,speaker,Very interested,Very interested,Very interested,data sharing,shared_none,shared_manufacturer,none_manufact,slightly increases,4,I like my privacy and do not want other companies or people to look at my personal data. By having shared data with no one it increases the chance I will buy the product.,,slightly decreases,2,,By no one having access to my data it means I am less likely to get data stolen by hackers or identity fraud. It seems less risky to me because I know that data is not being sent anywhere.,25,25,3,1,25,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
16,speaker,Very interested,Moderately interested,Moderately interested,security update,update_manual,update_none,manual_none,strongly increases,5,its much better for me to have to manually install something that will keep the model safe and secure versus there is no option to update the security system,,strongly decreases,1,,These updates even though will have to be done on your own time will at least provide some security benefits versus no updates and missing security risks because there is nothing working with the model to stop them.,15,25,4,2,26,Woman,"$30,000 to $39,999",Some college but no degree,No
16,speaker,Very interested,Moderately interested,Moderately interested,access control,access_password,access_none,password_none,strongly increases,5,for security and privacy concerns i want there to be a barrier between someone hacking easily and having a changeable default password would slow them down.,NA,strongly decreases,1,no access would allow anyone at anytime to just use model x for whichever purposes. default password makes it more personalized and secure.,,5,15,1,0,26,Woman,"$30,000 to $39,999",Some college but no degree,No
16,speaker,Very interested,Moderately interested,Moderately interested,purpose,purpose_main,purpose_personal,main_personal,slightly decreases,2,,it wouldn't be as personalized and im not sure if i would want that data provided solely for possible improvement of the device without proof,strongly decreases,1,,it would seem risky to have any of my devices collecting data to learn from,-25,-5,2,2,26,Woman,"$30,000 to $39,999",Some college but no degree,No
16,speaker,Very interested,Moderately interested,Moderately interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,no impact,3,,,slightly decreases,2,no access to the cloud storage seems safer than even de identified storage,,5,25,3,2,26,Woman,"$30,000 to $39,999",Some college but no degree,No
16,speaker,Very interested,Moderately interested,Moderately interested,data sharing,shared_none,shared_third,none_third,strongly increases,5,I appreciate a device that has my best interest in mind and not that of advertisers trying to mine my data as a consumer.,,strongly decreases,1,,if the data is not going to be sold or shared that means it only goes to the person its supposed to- the owner of the device. that creates less security risk of personal info getting out. ,20,25,5,2,26,Woman,"$30,000 to $39,999",Some college but no degree,No
17,speaker,Very interested,Very interested,Very interested,security update,update_auto,update_none,auto_none,strongly increases,5,It provides a continual level of security as vulnerabilities are discovered. It makes the device more secure and protects my network.,,strongly decreases,1,,It doesn't - it INCREASES the privacy and security of this device.,25,25,2,2,73,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
17,speaker,Very interested,Very interested,Very interested,access control,access_mfa,access_password,MFA_password,strongly increases,5,It gives me more control over the security of the device. I assume the authentication will be to a preregistered phone number (my cell) and would reduce security vulnerability. Cell phone security codes for authentication give me sole control of access to,,strongly decreases,1,,Speakers and routers are two of the weakest links in a home network - they are the most vulnerable to penetration. Multi-factor authentication makes hacking the system extremely more difficult and less likely. ,25,25,1,2,73,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
17,speaker,Very interested,Very interested,Very interested,purpose,purpose_main,purpose_personal,main_personal,no impact,3,,,no impact,3,,,0,5,3,0,73,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
17,speaker,Very interested,Very interested,Very interested,cloud storage,cloud_none,cloud_deidentify,none_deidentify,strongly increases,5,I refuse to use the cloud and think is is certain to eventually be breached. ,,strongly decreases,1,keeping it local prevents additional vulnerability of my data. i prefer that all my storage be local,,25,25,4,2,73,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
17,speaker,Very interested,Very interested,Very interested,data sharing,shared_manufacturer,shared_third,manufact_third,strongly increases,5,i prefer to have as much control as possible over my personal data,,strongly decreases,1,,it reduces the number of organizations who have access to my information - 3rd parties could sell that information again - so it's sort of like charity selling your address (their mailing lists) to other charities,25,25,5,2,73,Man,"$150,000 or more",Bachelor's degree in college (4-year),No
18,speaker,Very interested,Moderately interested,Very interested,security update,update_auto,update_manual,auto_manual,slightly decreases,2,,"I prefer not to be dictated to, i purchased the item so it should be my choice. Instead the updates should highlight the benefits to propell me to install it",strongly increases,5,To me it shows i am not in full control of my device,,-25,-15,3,2,27,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
18,speaker,Very interested,Moderately interested,Very interested,access control,access_mfa,access_password,MFA_password,no impact,3,,,slightly decreases,2,,For those who are highly security conscious it would help keep unauthorized users away,-25,0,1,2,27,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
18,speaker,Very interested,Moderately interested,Very interested,purpose,purpose_main,purpose_money,main_money,strongly increases,5,It means the manufacturer is interested in consumer satisfaction of ye product compared to increasing his own bottom line,,strongly decreases,1,,"Since the data gotten is to increase device functionality, the manufacturer will pay less to users personal data as opposed to if it's primary function was for monetization",25,25,5,1,27,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
18,speaker,Very interested,Moderately interested,Very interested,cloud storage,cloud_deidentify,cloud_identify,deidentify_identify,strongly increases,5,This means user data will be protected,NA,strongly decreases,1,,With user data protected there will be less security breaches,25,25,4,0,27,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
18,speaker,Very interested,Moderately interested,Very interested,data sharing,shared_none,shared_manufacturer,none_manufact,slightly decreases,2,,It shows a lack of adequate customer care service.because communication is not complete without feedback,slightly decreases,2,,This greatly reduces the possibility of hacks and unauthorized access in my opinion,-15,-10,2,0,27,Man,"$40,000 to $49,999",Bachelor's degree in college (4-year),No
